,id_api,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title_api,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength,stage_to_speech,num_id,title_auth_meta,pubdate,auth_name,gender,nation1,nation2,ethnicity,playtype,genre1,genre2,genre3,title.1,pubdate.1,auth_name.1,gender.1,nation1.1,nation2.1,ethnicity.1,playtype.1,genre1.1,genre2.1,genre3.1,id_auth_meta
408,am233,gale-rachel-e-baker-the-chaperon,gale-rachel-e-baker-the-chaperon,,,False,"Gale, Rachel E. (Baker)",The Chaperon,,0,several characters,3,3,19,0,0,0,0,937,40,,24429,23635,2985,,,1891,1891.0,,,,,,17.68421052631579,0.982456140350877,0.9845201238390091,19.0,18.0,1.0,168.0,2.0,1.017543859649122,0.12629574783160566,233,The Chaperon,1891.0,"Gale, Rachel E. (Baker), Mrs.",F,American,North American,unknown,verse,Comedy,unknown,unknown,The Chaperon,1891.0,"Gale, Rachel E. (Baker), Mrs.",F,American,North American,unknown,verse,Comedy,unknown,unknown,233.0
409,am231,gale-rachel-e-baker-the-clinging-vine,gale-rachel-e-baker-the-clinging-vine,,,False,"Gale, Rachel E. (Baker)",The Clinging Vine,,0,several characters,1,0,20,0,0,0,0,322,0,,7341,6825,1256,,,1913,1913.0,,,,,,19.0,1.0,1.0,20.0,19.0,1.0,190.0,1.0,1.0,0.18402930402930404,231,The Clinging Vine,1913.0,"Gale, Rachel E. (Baker), Mrs.",F,American,North American,unknown,verse,Comedy,One-act,unknown,The Clinging Vine,1913.0,"Gale, Rachel E. (Baker), Mrs.",F,American,North American,unknown,verse,Comedy,One-act,unknown,231.0
410,am230,gayler-charles-the-love-of-a-prince,gayler-charles-the-love-of-a-prince,,,False,"Gayler, Charles",The Love of a Prince,,0,princecharlesfrederick|countgustave,6,3,18,0,0,0,0,848,8,,19334,17173,2670,,,1857,1857.0,,,,,,12.222222222222221,0.7189542483660131,0.879961596138066,18.0,17.0,1.0,110.0,2.0,1.281045751633986,0.15547662027601467,230,The Love of a Prince,1857.0,"Gayler, Charles, 1820-1892",M,American,North American,unknown,prose,Drama,unknown,unknown,The Love of a Prince,1857.0,"Gayler, Charles, 1820-1892",M,American,North American,unknown,prose,Drama,unknown,unknown,230.0
411,am228,gillette-william-all-the-comforts-of-home,gillette-william-all-the-comforts-of-home,,,False,"Gillette, William",All the Comforts of Home,,0,several characters,4,4,25,0,0,0,0,1612,0,,33375,27773,13375,,,1897,1897.0,,,,,,18.32,0.7633333333333331,0.8923836765827611,25.0,24.0,1.0,229.0,2.0,1.236666666666666,0.4815828322471465,228,All the Comforts of Home,1897.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Comedy,unknown,unknown,All the Comforts of Home,1897.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Comedy,unknown,unknown,228.0
412,am229,gillette-william-among-thieves,gillette-william-among-thieves,,,False,"Gillette, William",Among Thieves,,0,burns|jim|nell,1,0,3,0,0,0,0,360,0,,7218,6177,2023,,,1925,1925.0,,,,,,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,0.32750526145378017,229,Among Thieves,1925.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,One-act,unknown,unknown,Among Thieves,1925.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,One-act,unknown,unknown,229.0
413,am226,gillette-william-electricity,gillette-william-electricity,,,False,"Gillette, William",Electricity,,0,several characters,3,3,15,0,0,0,0,1362,0,,29133,23820,12532,,,1924,1924.0,,,,,,12.4,0.8857142857142851,0.9222999222999221,15.0,14.0,1.0,93.0,2.0,1.114285714285714,0.526112510495382,226,Electricity,1924.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Comedy,unknown,unknown,Electricity,1924.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Comedy,unknown,unknown,226.0
414,am227,gillette-william-held-by-the-enemy,gillette-william-held-by-the-enemy,,,False,"Gillette, William",Held by the Enemy,,0,several characters,5,5,26,0,0,0,0,1230,0,,31404,22797,15115,,,1925,1925.0,,,,,,16.0,0.64,0.8826741366723191,26.0,25.0,1.0,208.0,2.0,1.3599999999999999,0.6630258367329035,227,Held by the Enemy,1925.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Civil War,unknown,unknown,Held by the Enemy,1925.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Civil War,unknown,unknown,227.0
415,am224,gillette-william-how-well-george-does-it,gillette-william-how-well-george-does-it,,,False,"Gillette, William",How Well George Does It!,,0,several characters,1,0,9,0,0,0,0,362,0,,7564,5558,2999,,,1936,1936.0,,,,,,8.0,1.0,1.0,9.0,8.0,1.0,36.0,1.0,1.0,0.5395825836631882,224,How Well George Does It!,1936.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Comedy,One-act,unknown,How Well George Does It!,1936.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Comedy,One-act,unknown,224.0
416,am223,gillette-william-secret-service-a-drama-of,gillette-william-secret-service-a-drama-of,,,False,"Gillette, William","Secret Service: A Drama of ""The Southern Confederacy""",,0,several characters,4,4,36,0,0,0,0,1488,0,,49363,34698,26243,,,1917,1917.0,,,,,,21.944444444444443,0.6269841269841271,0.8922265665525471,36.0,35.0,1.0,395.0,2.0,1.373015873015873,0.7563260130266874,223,"Secret Service: A Drama of ""The Southern Confederacy""",1917.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Civil War,History,Drama,"Secret Service: A Drama of ""The Southern Confederacy""",1917.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Civil War,History,Drama,223.0
417,am222,gillette-william-secret-service,gillette-william-secret-service,,,False,"Gillette, William",Secret Service,,0,several characters,4,4,39,0,0,0,0,1477,0,,46864,34250,25396,,,1898,1898.0,,,,,,22.564102564102566,0.593792172739541,0.891166899550865,39.0,38.0,1.0,440.0,2.0,1.4062078272604581,0.7414890510948905,222,Secret Service,1898.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Civil War,Drama,unknown,Secret Service,1898.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Civil War,Drama,unknown,222.0
418,am221,gillette-william-sherlock-holmes-a-drama-in,gillette-william-sherlock-holmes-a-drama-in,,,False,"Gillette, William",Sherlock Holmes: A Drama in Four Acts,,0,prince,5,4,25,0,0,0,0,1547,0,,41812,31865,17931,,,1922,1922.0,,,,,,14.56,0.606666666666666,0.8825629300778041,25.0,24.0,1.0,182.0,2.0,1.393333333333333,0.5627177153616821,221,Sherlock Holmes: A Drama in Four Acts,1922.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Drama,unknown,unknown,Sherlock Holmes: A Drama in Four Acts,1922.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,Drama,unknown,unknown,221.0
419,am225,gillette-william-the-painful-predicament-of-sherlock,gillette-william-the-painful-predicament-of-sherlock,,,False,"Gillette, William",The Painful Predicament of Sherlock Holmes,,0,billy|gwendolyn,1,0,2,0,0,0,0,58,0,,3213,2355,953,,,1955,1955.0,,,,,,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.40467091295116775,225,The Painful Predicament of Sherlock Holmes,1955.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,One-act,Fantasy,unknown,The Painful Predicament of Sherlock Holmes,1955.0,"Gillette, William, 1853-1937.",M,American,North American,unknown,verse,One-act,Fantasy,unknown,225.0
420,am220,gilman-caroline-howard-isadore,gilman-caroline-howard-isadore,,,False,"Gilman, Caroline Howard",Isadore (1849),,0,father,1,1,1,0,0,0,0,0,0,,7,3,4,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3333333333333333,220,Isadore (1849),1849.0,"Gilman, Caroline Howard, 1794-1888",F,American,North American,unknown,verse,unknown,unknown,unknown,Isadore (1849),1849.0,"Gilman, Caroline Howard, 1794-1888",F,American,North American,unknown,verse,unknown,unknown,unknown,220.0
421,am219,godfrey-thomas-the-prince-of-parthia,godfrey-thomas-the-prince-of-parthia,,,False,"Godfrey, Thomas",The Prince of Parthia (1765),,0,arsaces,40,5,16,0,0,0,0,0,2445,,19907,19519,293,,,1765,1765.0,,,,,,5.375,0.358333333333333,0.6677731990231991,16.0,13.0,1.0,43.0,4.0,1.7666666666666662,0.015011014908550642,219,The Prince of Parthia (1765),1765.0,"Godfrey, Thomas, 1736-1763",M,American,North American,unknown,verse,Tragedy,Drama,unknown,The Prince of Parthia (1765),1765.0,"Godfrey, Thomas, 1736-1763",M,American,North American,unknown,verse,Tragedy,Drama,unknown,219.0
422,am218,goodrich-frank-boott-flirtation-and-what-comes-of,goodrich-frank-boott-flirtation-and-what-comes-of,,,False,"Goodrich, Frank Boott","Flirtation, and What Comes of It (1861)",,0,several characters,5,5,10,0,0,0,0,1015,0,,24967,24356,1123,,,1861,1861.0,,,,,,9.0,1.0,1.0,10.0,9.0,1.0,45.0,1.0,1.0,0.04610773526030547,218,"Flirtation, and What Comes of It (1861)",1861.0,"Goodrich, Frank Boott, 1826-1894",M,American,North American,unknown,prose,Comedy,unknown,unknown,"Flirtation, and What Comes of It (1861)",1861.0,"Goodrich, Frank Boott, 1826-1894",M,American,North American,unknown,prose,Comedy,unknown,unknown,218.0
